number,name_full,name,suffix,canonization,birth,start,end,start_age,end_age,tenure_years,cardinalate,years_as_cardinal,canonization,Personal Name,Place of Birth,Modern-day country of birth,Comments
109,Adrian III,Adrian,3,,0830-06-30,0884-05-17,0885-07-08,53.881,55.023,1.142,Unknown,Unknown,,NA,Rome,Italy,"Adrian I was possibly his ancestor. His cultus was confirmed on June 2, 1891. His feast, according to the Roman Martyrology, is celebrated on July 8."
110,Stephen V,Stephen,5,,0840-06-30,0885-09-14,0891-09-04,45.206,51.179,5.973,0882-06-30,3.206,,NA,Rome,Italy,NA
111,Formosus,Formosus,1,,0805-06-30,0891-10-06,0896-04-04,86.268,90.762,4.494,0864-06-30,27.268,,NA,"Ostia, Papal States",Italy,"In early 897 posthumously executed following the Cadaver Synod. His body was reburied with full Christian honours in 897. His body was exhumed and he was tried and excommunicated by Pope Stephen V (VI) in January 897, nine months after his death. Buried in a common grave and later thrown in the river Tiber. A hermit retrieved his body and reburied him. He was rehabilitated by Pope John IX in the Roman Synod of April 898. "
112,Boniface VI,Boniface,6,,0806-06-30,0896-04-11,0896-04-26,89.781,89.822,0.041,Unknown,Unknown,,NA,Rome,Italy,NA
113,Stephen VI,Stephen,6,,0850-06-30,0896-05-22,0897-08-14,45.895,47.123,1.228,Unknown,Unknown,,NA,Rome,Italy,Held the infamous Cadaver Synod. 
114,Romanus,Romanus,1,,0850-06-30,0897-08-14,0897-11-01,47.123,47.337,0.214,0867-06-30,30.123,,NA,"Gallese, Papal States",Italy,NA
115,Theodore II,Theodore,2,,0840-06-30,0897-12-01,0897-12-20,57.421,57.473,0.052,Unknown,Unknown,,NA,Rome,Italy,NA
116,John IX,John,9,,0840-06-30,0898-01-18,0900-01-05,57.55,59.515,1.964,Unknown,Unknown,,NA,Tivoli,Italy,NA
117,Benedict IV,Benedict,4,,0840-06-30,0900-02-01,0903-07-30,59.587,63.083,3.496,NA,NA,,NA,Rome,Italy,NA
118,Leo V,Leo,5,,0845-06-30,0903-07-30,0903-12-01,58.083,58.421,0.337,NA,NA,,NA,Ardea,Italy,Deposed and murdered. 
119,Sergius III,Sergius,3,,0860-06-30,0904-01-29,0911-04-14,43.581,50.79,7.209,Unknown,Unknown,,NA,Rome,Italy,"""Saeculum obscurum"" begins. The first pope to be depicted with the Papal Tiara. "
120,Anastasius III,Anastasius,3,,0865-06-30,0911-04-14,0913-06-01,45.79,47.921,2.131,Unknown,Unknown,,NA,Rome,Italy,NA
121,Lando,Lando,1,,0865-06-30,0913-07-07,0914-02-05,48.02,48.598,0.578,Unknown,Unknown,,NA,"Sabina, Papal States",Italy,Last to use a new and non-composed regnal name until Francis (2013-) 
122,John X,John,10,,0860-06-30,0914-03-01,0928-05-28,53.671,67.911,14.241,0907-06-30,6.671,,NA,"Tossignano, Papal States",Italy,NA
123,Leo VI,Leo,6,,0880-06-30,0928-05-28,0928-12-01,47.911,48.421,0.509,Unknown,Unknown,,NA,Rome,Italy,NA
124,Stephen VII,Stephen,7,,0880-06-30,0929-02-03,0931-02-13,48.593,50.62,2.027,Unknown,Unknown,,NA,Rome,Italy,NA
125,John XI,John,11,,0910-06-30,0931-03-15,0935-12-01,20.709,25.421,4.712,Unknown,Unknown,,NA,Rome,Italy,"Probably, according to the Liber Pontificalis and Liutprand of Cremona, the son of Pope Sergius III, and not of Alberic I of Spoleto, who was Marozia's husband. "
126,Leo VII,Leo,7,,0885-06-30,0936-01-03,0939-07-13,50.509,54.037,3.527,Unknown,Unknown,,NA,Rome,Italy,NA
127,Stephen VIII,Stephen,8,,0900-06-30,0939-07-14,0942-10-30,39.04,42.333,3.294,Unknown,Unknown,,NA,Rome,Italy,NA
128,Marinus II,Marinus,2,,0900-06-30,0942-10-30,0946-05-01,42.333,45.837,3.504,Unknown,Unknown,,NA,Rome,Italy,Erroneously also known as Martin III. 
129,Agapetus II,Agapetus,2,,0905-06-30,0946-05-10,0955-11-08,40.862,50.356,9.495,Unknown,Unknown,,NA,Rome,Italy,NA
130,John XII,John,12,,0934-06-30,0955-12-16,0964-05-14,21.462,29.873,8.411,Unknown,Unknown,,Octavian,Rome,Italy,"Third pope not to use his personal name (Octavian). Deposed in 963 by Emperor Otto invalidly; end of the ""Saeculum obscurum"". Possibly murdered in 964."
131,Benedict V,Benedict,5,,0915-06-30,0964-05-22,0964-06-23,48.895,48.981,0.086,0961-06-30,2.895,,NA,Rome,Italy,"Elected by the people of Rome, in opposition to Leo VIII who was appointed by Emperor Otto; he accepted his own deposition in 964 leaving Leo VIII as the sole pope. "
132,Leo VIII,Leo,8,,0915-06-30,0964-06-23,0965-03-01,48.981,49.671,0.69,NA,NA,,NA,Rome,Italy,His pontificate from 963 to 964 is considered illegitimate by today's Catholic Church
133,John XIII,John,13,,0930-06-30,0965-10-01,0972-09-06,35.254,42.184,6.93,0964-06-30,1.254,,NA,Rome,Italy,"Chronicled after his death as ""the Good"". "
134,Benedict VI,Benedict,6,,0925-06-30,0973-01-19,0974-06-08,47.553,48.94,1.387,0972-06-30,0.553,,NA,Rome,Italy,Deposed and murdered. 
135,Benedict VII,Benedict,7,,0930-06-30,0974-10-01,0983-07-10,44.254,53.029,8.775,0972-06-30,2.254,,NA,Rome,Italy,NA
