number,name_full,name,suffix,canonization,birth,start,end,age_start,age_end,tenure,Personal Name,Place of Birth,Modern-day country of birth,Comments
74,Martin I,Martin,1,Saint,0590-06-30T00:00:00Z,0649-07-05T00:00:00Z,0655-11-12T00:00:00Z,59.0116358658453,65.3661875427789,6.3551912568306,,"Near Todi, Umbria, Byzantine Empire",Italy,Last pope recognized as a martyr. 
75,Eugene I,Eugene,1,Saint,0615-06-30T00:00:00Z,0654-08-10T00:00:00Z,0657-06-02T00:00:00Z,39.1129363449692,41.9247091033539,2.81095890410959,,Rome,Italy,
76,Vitalian,Vitalian,1,Saint,0600-06-30T00:00:00Z,0657-07-30T00:00:00Z,0672-01-27T00:00:00Z,57.0814510609172,71.5756331279945,14.4945355191257,,"Segni, Byzantine Empire",Italy,
77,Adeodatus II,Adeodatus,2,NA,0621-06-30T00:00:00Z,0672-04-11T00:00:00Z,0676-06-17T00:00:00Z,50.7816563997262,54.9650924024641,4.18356164383562,,"Rome, Byzantine Empire",Italy,
78,Donus,Donus,1,NA,0610-06-30T00:00:00Z,0676-11-02T00:00:00Z,0678-04-11T00:00:00Z,66.3436002737851,67.7809719370294,1.43835616438356,,"Rome, Byzantine Empire",Italy,
79,Agatho,Agatho,1,Saint,0577-06-30T00:00:00Z,0678-06-27T00:00:00Z,0681-01-10T00:00:00Z,100.988364134155,103.529089664613,2.53972602739726,,Sicily,Italy,of Greek ethnicity.
80,Leo II,Leo,2,Saint,0611-06-30T00:00:00Z,0682-08-17T00:00:00Z,0683-07-03T00:00:00Z,71.1321013004791,72.0082135523614,0.876712328767123,,Sicily,Italy,of Greek ethnicity.
81,Benedict II,Benedict,2,Saint,0635-06-30T00:00:00Z,0684-06-26T00:00:00Z,0685-05-08T00:00:00Z,48.9911019849418,49.8562628336756,0.865753424657534,,"Rome, Byzantine Empire",Italy,
82,John V,John,5,NA,0635-06-30T00:00:00Z,0685-07-23T00:00:00Z,0686-08-02T00:00:00Z,50.0643394934976,51.0910335386721,1.02739726027397,,"Antiochia, Syria",Syria or Turkey,of Syrian or Greek ethnicity. 
83,Conon,Conon,1,NA,0630-06-30T00:00:00Z,0686-10-21T00:00:00Z,0687-09-21T00:00:00Z,56.3093771389459,57.2265571526352,0.917808219178082,,Thracia,"Turkey, Greece or Bulgaria",of Greek ethnicity. 
84,Sergius I,Sergius,1,Saint,0650-06-30T00:00:00Z,0687-12-15T00:00:00Z,0701-09-08T00:00:00Z,37.4592744695414,51.1895961670089,13.7315068493151,,"Sicily or Antiochia, Syria","Italy or Syria, Turkey",Hellenized Syrian
85,John VI,John,6,NA,0650-06-30T00:00:00Z,0701-10-30T00:00:00Z,0705-01-11T00:00:00Z,51.3319644079398,54.5325119780972,3.2,,"Ephesus, Eastern Roman Empire",Turkey,of Greek ethnicity. The only pope who came from Asia Minor. 
86,John VII,John,7,NA,0655-06-30T00:00:00Z,0705-03-01T00:00:00Z,0707-10-18T00:00:00Z,49.6673511293634,52.2984257357974,2.63114754098361,,Calabria,Italy,of Greek ethnicity. The second pope to bear the same name as his immediate predecessor. 
87,Sisinnius,Sisinnius,1,NA,0650-06-30T00:00:00Z,0708-01-15T00:00:00Z,0708-02-04T00:00:00Z,57.5414099931554,57.596167008898,0.0546448087431694,,"Syria, Rashidun Caliphate",Syria,Born as subject of the Rashidun Caliphate. Was Syrian.
88,Constantine,Constantine,1,NA,0664-06-30T00:00:00Z,0708-03-25T00:00:00Z,0715-04-09T00:00:00Z,43.7316906228611,50.7707049965777,7.04098360655738,,Syria,Syria,Last pope to visit Greece until John Paul II in 2001
89,Gregory II,Gregory,2,Saint,0669-06-30T00:00:00Z,0715-05-19T00:00:00Z,0731-02-11T00:00:00Z,45.8809034907598,61.6153319644079,15.7342465753425,,"Rome, Byzantine Empire",Italy,
90,Gregory III,Gregory,3,Saint,0669-06-30T00:00:00Z,0731-03-18T00:00:00Z,0741-11-28T00:00:00Z,61.7111567419576,72.4106776180698,10.6986301369863,,"Syria, Umayyad Caliphate",Syria,Born as subject of the Umayyad Caliphate; the last pope from Syria. The third pope to come from a Muslim country. The third pope to bear the same name as his immediate predecessor. Last pope to have been born outside Europe until the election of Francis in 2013. 
91,Zachary,Zachary,1,Saint,0679-06-30T00:00:00Z,0741-12-03T00:00:00Z,0752-03-22T00:00:00Z,62.425735797399,72.72553045859,10.3005464480874,,Calabria,Italy,of Greek ethnicity.
92,Stephen II,Stephen,2,Saint,0714-06-30T00:00:00Z,0752-03-26T00:00:00Z,0757-04-26T00:00:00Z,37.7385352498289,42.8227241615332,5.08493150684932,,Rome,Italy,later the sovereign of the independent Papal States. Sometimes called Stephen III. The Donation of Pepin. Brother of Paul I. 
93,Paul I,Paul,1,Saint,0700-06-30T00:00:00Z,0757-05-29T00:00:00Z,0767-06-28T00:00:00Z,56.911704312115,66.9924709103354,10.0819672131148,,Rome,Italy,Brother of Stephen II.
94,Stephen III,Stephen,3,Saint,0723-06-30T00:00:00Z,0768-08-07T00:00:00Z,0772-01-24T00:00:00Z,45.1060917180014,48.5694729637235,3.46448087431694,,Sicily,Italy,of Greek ethnicity
95,Adrian I,Adrian,1,NA,0700-06-30T00:00:00Z,0772-02-01T00:00:00Z,0795-12-26T00:00:00Z,71.5893223819302,95.4880219028063,23.8986301369863,,Rome,Italy,
96,Leo III,Leo,3,Saint,0750-06-30T00:00:00Z,0795-12-26T00:00:00Z,0816-06-12T00:00:00Z,45.4893908281999,65.9520876112252,20.4617486338798,,Rome,Italy,
