number,name_full,suffix,canonization,birth,start,end,age_start,age_end,tenure,gap_from_previous
110,Stephen V,5,Saint,0840-06-30T00:00:00Z,0885-09-14T00:00:00Z,0891-09-04T00:00:00Z,45,51,5.97260273972603,68.6379192334018
72,John IV,4,NA,0587-06-30T00:00:00Z,0640-12-24T00:00:00Z,0642-10-12T00:00:00Z,53,55,1.8,66.4476386036961
220,Paul III,3,NA,1468-02-29T00:00:00Z,1534-10-13T00:00:00Z,1549-11-10T00:00:00Z,66,81,15.0767123287671,63.2142368240931
238,Clement IX,9,NA,1600-01-28T00:00:00Z,1667-06-20T00:00:00Z,1669-12-09T00:00:00Z,67,69,2.47123287671233,62.2970568104038
131,Benedict V,5,NA,0915-06-30T00:00:00Z,0964-05-22T00:00:00Z,0964-06-23T00:00:00Z,48,48,0.0876712328767123,60.8131416837782
128,Marinus II,2,NA,0900-06-30T00:00:00Z,0942-10-30T00:00:00Z,0946-05-01T00:00:00Z,42,45,3.5013698630137,58.4558521560575
190,Honorius IV,4,NA,1210-06-30T00:00:00Z,1285-04-02T00:00:00Z,1287-04-03T00:00:00Z,74,76,2.00273224043716,58.0424366872006
231,Clement VIII,8,NA,1536-02-24T00:00:00Z,1592-01-30T00:00:00Z,1605-03-03T00:00:00Z,55,69,13.0876712328767,57.347022587269
119,Sergius III,3,NA,0860-06-30T00:00:00Z,0904-01-29T00:00:00Z,0911-04-14T00:00:00Z,43,50,7.2054794520548,57.0020533880903
224,Pius IV,4,NA,1499-03-31T00:00:00Z,1559-12-26T00:00:00Z,1565-12-09T00:00:00Z,60,66,5.95342465753425,56.1889117043121
176,Innocent III,3,NA,1161-06-30T00:00:00Z,1198-01-08T00:00:00Z,1216-07-16T00:00:00Z,36,55,18.5191256830601,54.2915811088296
77,Adeodatus II,2,NA,0621-06-30T00:00:00Z,0672-04-11T00:00:00Z,0676-06-17T00:00:00Z,50,54,4.18356164383562,53.4236824093087
236,Innocent X,10,NA,1574-05-06T00:00:00Z,1644-09-15T00:00:00Z,1655-01-07T00:00:00Z,70,80,10.3123287671233,52.7118412046544
192,Celestine V,5,Saint,NA,1294-07-05T00:00:00Z,1294-12-13T00:00:00Z,NA,NA,0.441095890410959,52.6488706365503
256,Leo XIII,13,NA,1810-03-02T00:00:00Z,1878-02-20T00:00:00Z,1903-07-20T00:00:00Z,67,93,25.4109589041096,49.0266940451745
118,Leo V,5,NA,0845-06-30T00:00:00Z,0903-07-30T00:00:00Z,0903-12-01T00:00:00Z,58,58,0.33879781420765,48.0328542094456
175,Celestine III,3,NA,1106-06-30T00:00:00Z,1191-03-30T00:00:00Z,1198-01-08T00:00:00Z,84,91,6.77808219178082,47.0581793292266
148,Gregory VI,6,NA,1000-06-30T00:00:00Z,1045-05-05T00:00:00Z,1046-12-20T00:00:00Z,44,46,1.62739726027397,46.2067077344285
233,Paul V,5,NA,1550-09-17T00:00:00Z,1605-05-16T00:00:00Z,1621-01-28T00:00:00Z,54,70,15.7041095890411,45.7440109514032
97,Stephen IV,4,Saint,0770-06-30T00:00:00Z,0816-06-22T00:00:00Z,0817-01-24T00:00:00Z,45,46,0.591780821917808,44.4106776180698
179,Celestine IV,4,NA,1180-06-30T00:00:00Z,1241-10-25T00:00:00Z,1241-11-10T00:00:00Z,61,61,0.0438356164383562,43.7946611909651
