number,name_full,canonization,birth,start,end,age_start,age_end,tenure
102,Sergius II,,0790-06-30T00:00:00Z,0844-01-25T00:00:00Z,0847-01-27T00:00:00Z,53.57262640574413,56.57884829941751,3.00547945205479
182,Urban IV,,1195-06-30T00:00:00Z,1261-08-29T00:00:00Z,1264-10-02T00:00:00Z,66.16699863789127,69.26083355578828,3.09315068493151
85,John VI,,0650-06-30T00:00:00Z,0701-10-30T00:00:00Z,0705-01-11T00:00:00Z,51.333018474027526,54.53363176519709,3.2
174,Clement III,,1130-06-30T00:00:00Z,1187-12-19T00:00:00Z,1191-03-20T00:00:00Z,57.47140598369576,60.72130160099112,3.24931506849315
127,Stephen VIII,Saint,0900-06-30T00:00:00Z,0939-07-14T00:00:00Z,0942-10-30T00:00:00Z,39.03707810564214,42.33351814205631,3.2958904109589
99,Eugene II,,0780-06-30T00:00:00Z,0824-05-08T00:00:00Z,0827-08-27T00:00:00Z,43.85579443794192,47.157710288370055,3.30327868852459
209,Callixtus III,,1378-12-31T00:00:00Z,1455-04-08T00:00:00Z,1458-08-06T00:00:00Z,76.26713758667186,79.5964325071699,3.32876712328767
23,Stephen I,Saint,0205-06-30T00:00:00Z,0254-03-12T00:00:00Z,0257-08-02T00:00:00Z,48.69915193330458,52.09141871496335,3.39178082191781
94,Stephen III,Saint,0723-06-30T00:00:00Z,0768-08-07T00:00:00Z,0772-01-24T00:00:00Z,45.10701794013566,48.57047030397612,3.46448087431694
117,Benedict IV,,0840-06-30T00:00:00Z,0900-02-01T00:00:00Z,0903-07-30T00:00:00Z,59.59054600710487,63.07863953400823,3.49041095890411
128,Marinus II,,0900-06-30T00:00:00Z,0942-10-30T00:00:00Z,0946-05-01T00:00:00Z,42.33351814205631,45.83530120399461,3.5013698630137
126,Leo VII,,0885-06-30T00:00:00Z,0936-01-03T00:00:00Z,0939-07-13T00:00:00Z,50.50890846492399,54.0325947829182,3.52328767123288
42,Boniface I,Saint,0377-06-30T00:00:00Z,0418-12-28T00:00:00Z,0422-09-04T00:00:00Z,41.49571859791782,45.18094142932435,3.68493150684932
183,Clement IV,,1190-11-23T00:00:00Z,1265-02-05T00:00:00Z,1268-11-29T00:00:00Z,74.20549361040952,78.01939807114451,3.81420765027322
9,Hyginus,Saint,0074-06-30T00:00:00Z,0136-01-05T00:00:00Z,0140-01-11T00:00:00Z,61.51529463301779,65.53180421226993,4.01639344262295
189,Martin IV,,1210-06-30T00:00:00Z,1281-02-22T00:00:00Z,1285-03-28T00:00:00Z,70.65169031533844,74.74486129078626,4.09315068493151
139,Sylvester II,,0940-06-30T00:00:00Z,0999-04-02T00:00:00Z,1003-05-12T00:00:00Z,58.755484369973374,62.862344880456135,4.10928961748634
191,Nicholas IV,,1227-09-30T00:00:00Z,1288-02-22T00:00:00Z,1292-04-04T00:00:00Z,60.39822857416648,64.51330280567021,4.11475409836066
62,Benedict I,,0525-06-30T00:00:00Z,0575-06-02T00:00:00Z,0579-07-30T00:00:00Z,49.922996365428446,54.081877109044,4.15846994535519
77,Adeodatus II,,0621-06-30T00:00:00Z,0672-04-11T00:00:00Z,0676-06-17T00:00:00Z,50.78269916562284,54.96622107230128,4.18356164383562
54,Felix IV,Saint,0490-06-30T00:00:00Z,0526-07-12T00:00:00Z,0530-09-22T00:00:00Z,36.03085621196876,40.22806765368214,4.1972602739726
171,Lucius III,,1097-06-30T00:00:00Z,1181-09-01T00:00:00Z,1185-11-25T00:00:00Z,84.17147511584768,88.40427934865193,4.23287671232877
223,Paul IV,,1476-06-28T00:00:00Z,1555-05-23T00:00:00Z,1559-08-18T00:00:00Z,78.89826622038782,83.13654626720603,4.23770491803279
184,Gregory X,Blessed,1210-06-30T00:00:00Z,1271-09-01T00:00:00Z,1276-01-10T00:00:00Z,61.17305625714423,65.53180421226993,4.35792349726776
111,Formosus,,0805-06-30T00:00:00Z,0891-10-06T00:00:00Z,0896-04-04T00:00:00Z,86.26871188320088,90.76435518867602,4.49453551912568
261,John XXIII,Saint,1881-11-25T00:00:00Z,1958-10-28T00:00:00Z,1963-06-03T00:00:00Z,76.92149736134212,81.51844322607583,4.5972602739726
125,John XI,,0910-06-30T00:00:00Z,0931-03-15T00:00:00Z,0935-12-01T00:00:00Z,20.70679069385408,25.42146655988829,4.71311475409836
49,Gelasius I,Saint,0410-06-30T00:00:00Z,0492-03-01T00:00:00Z,0496-11-21T00:00:00Z,81.67176601846718,86.39739351252935,4.72602739726027
169,Adrian IV,,1100-06-30T00:00:00Z,1154-12-04T00:00:00Z,1159-09-01T00:00:00Z,54.429591298931534,59.17164623503562,4.74246575342466
16,Callixtus I,Saint,0155-06-30T00:00:00Z,0217-12-20T00:00:00Z,0222-10-14T00:00:00Z,62.47356208546377,67.28954051075655,4.81643835616438
60,Pelagius I,,0505-06-30T00:00:00Z,0556-04-16T00:00:00Z,0561-03-04T00:00:00Z,50.79638870065778,55.67807689411829,4.88219178082192
106,Adrian II,,0792-06-30T00:00:00Z,0867-12-14T00:00:00Z,0872-12-14T00:00:00Z,75.45671711260327,80.45887321437127,5.0
92,Stephen II,Saint,0714-06-30T00:00:00Z,0752-03-26T00:00:00Z,0757-04-26T00:00:00Z,37.73931018432959,42.82360349630725,5.08493150684932
18,Pontian,Saint,0175-06-30T00:00:00Z,0230-08-21T00:00:00Z,0235-09-28T00:00:00Z,55.14144712074855,60.24490578177512,5.10382513661202
221,Julius III,,1487-09-10T00:00:00Z,1550-02-07T00:00:00Z,1555-03-29T00:00:00Z,62.41059022430303,67.54690376941348,5.13698630136986
163,Honorius II,,1060-02-09T00:00:00Z,1124-12-21T00:00:00Z,1130-02-13T00:00:00Z,64.86375490256474,70.01102007570313,5.14794520547945
152,Leo IX,Saint,1002-07-21T00:00:00Z,1049-02-12T00:00:00Z,1054-04-19T00:00:00Z,46.56632237486054,51.7464424320828,5.18082191780822
227,Sixtus V,,1521-12-13T00:00:00Z,1585-04-24T00:00:00Z,1590-08-27T00:00:00Z,63.36338186273503,68.70503843336961,5.34246575342466
249,Clement XIV,,1705-10-31T00:00:00Z,1769-05-19T00:00:00Z,1774-09-22T00:00:00Z,63.54955953921025,68.89395401685182,5.34520547945206
252,Leo XII,,1760-08-22T00:00:00Z,1823-09-28T00:00:00Z,1829-02-10T00:00:00Z,63.09780488305714,68.46957843076859,5.36986301369863
141,John XVIII,,0965-06-30T00:00:00Z,1003-12-25T00:00:00Z,1009-07-18T00:00:00Z,38.48402089023046,44.04744792843111,5.56164383561644
245,Benedict XIII,Servant of God,1649-02-02T00:00:00Z,1724-05-29T00:00:00Z,1730-02-21T00:00:00Z,75.31708385524685,81.05026112788079,5.73424657534247
69,Boniface V,,0575-06-30T00:00:00Z,0619-12-23T00:00:00Z,0625-10-25T00:00:00Z,44.48003723553529,50.31999288144178,5.83835616438356
162,Callixtus II,,1060-06-30T00:00:00Z,1119-02-02T00:00:00Z,1124-12-13T00:00:00Z,58.59120994955406,64.45306885151646,5.86065573770492
5,Evaristus,Saint,0030-06-30T00:00:00Z,0099-11-23T00:00:00Z,0105-10-27T00:00:00Z,69.40046681314469,75.32529757626781,5.92602739726027
224,Pius IV,,1499-03-31T00:00:00Z,1559-12-26T00:00:00Z,1565-12-09T00:00:00Z,60.73772904303305,66.69267678323305,5.95342465753425
110,Stephen V,Saint,0840-06-30T00:00:00Z,0885-09-14T00:00:00Z,0891-09-04T00:00:00Z,45.20832049939424,51.179695681636176,5.97260273972603
26,Felix I,Saint,0206-06-30T00:00:00Z,0269-01-05T00:00:00Z,0274-12-30T00:00:00Z,62.52010650458257,68.50243331485245,5.98356164383562
210,Pius II,,1405-10-18T00:00:00Z,1458-08-19T00:00:00Z,1464-08-15T00:00:00Z,52.83612942086422,58.82666995215507,5.98907103825137
